Links,Claims,Date,Date
https://www.indiatoday.in//fact-check/story/fact-check-this-viral-image-of-pm-modi-riding-bicycle-along-with-pamela-goswami-is-morphed-1775605-2021-03-04, Comedian Shyam Rangeela has tweeted that the maximum number of Nobel Laureates comes from Bengal whereas the highest number of bank robbers hails from Gujarat,3-Mar-21,3-Mar-21
https://www.indiatoday.in//fact-check/story/fact-check-not-so-funny-imposter-mimics-shyam-rangeelas-twitter-account-to-criticise-modi-govt-1775238-2021-03-03," According to BBC, the Left Front-Congress gathering at Kolkata’s Brigade Parade Ground on February 28 was the “world’s largest peaceful political gathering”",2-Mar-21,2-Mar-21
https://www.indiatoday.in//fact-check/story/fact-check-bbc-has-not-called-left-rally-in-kolkata-the-world-s-largest-political-gathering-1774746-2021-03-02, This image of a sea of people is from Sunday’s joint rally of Left Front and Congress in Kolkata’s Brigade Parade Ground,28-Feb-21,28-Feb-21
https://www.indiatoday.in//fact-check/story/fact-check-two-year-old-left-front-rally-in-kolkata-shared-as-feb-28-gathering-1774042-2021-02-28," To make the internet safer, all social media accounts of users need to be verified with a government ID within three months",27-Feb-21,27-Feb-21
https://www.indiatoday.in//fact-check/story/not-mandatory-for-users-to-verify-their-social-media-accounts-within-3-months-1773816-2021-02-27, A vintage bicycle with unique spring wheels and a rifle attached to it was used in police stations in India in the British era,27-Feb-21,27-Feb-21
https://www.indiatoday.in//fact-check/story/know-real-story-vintage-spring-wheel-bicycle-british-world-war-1773714-2021-02-27," Video shows angry cricket fans after the Indian national flag was banned inside the newly inaugurated Narendra Modi Stadium at Motera in Ahmedabad, Gujarat",26-Feb-21,26-Feb-21
https://www.indiatoday.in//fact-check/story/no-the-indian-national-flag-is-not-banned-inside-gujarat-narendra-modi-stadium-1773592-2021-02-26, A viral image of a petrol bill of Sai Balaji Petroleum in Mumbai’s Vikhroli area states that if you want to reduce the petrol price don’t vote for PM Modi again,26-Feb-21,26-Feb-21
https://www.indiatoday.in//fact-check/story/fact-check-viral-image-of-petrol-bill-asking-not-to-vote-for-pm-modi-is-fake-1773371-2021-02-26, Recent visual from Batmaloo area in Srinagar where clashes erupted during a cordon and search operations by security forces,25-Feb-21,25-Feb-21
https://www.indiatoday.in//fact-check/story/fact-check-five-year-old-picture-of-unrest-passed-off-as-recent-clashes-in-srinagar-1773155-2021-02-25, Video shows people trapped after the under-construction Balanagar- Jeedimetla flyover in Hyderabad collapsed,24-Feb-21,24-Feb-21
https://www.indiatoday.in//fact-check/story/fact-check-2018-video-of-varanasi-flyover-collapse-shared-with-misleading-claims-1772670-2021-02-24, Video shows man spitting on rotis while cooking at Red Rose Palace function hall in Hyderabad’s Nampally area,24-Feb-21,24-Feb-21
https://www.indiatoday.in//fact-check/story/fact-check-viral-video-of-meerut-man-spitting-on-rotis-shared-as-incident-from-hyderabad-1772329-2021-02-24, The video shows how BJP is disturbing peace in Bengal,22-Feb-21,22-Feb-21
https://www.indiatoday.in//fact-check/story/fact-check-this-video-of-bjp-workers-attacking-a-house-is-not-from-bengal-1771892-2021-02-22, Picture from Yogi Adityanath’s rally in Kasaragod district of Kerala on February 21,21-Feb-21,21-Feb-21
https://www.indiatoday.in//fact-check/story/fact-check-picture-of-bjp-workers-forming-human-flag-is-not-from-yogi-rally-in-kerala-1771598-2021-02-21, Video shows RSS workers in chains being marched through the streets of Kerala by Popular Front of India (PFI) activists,20-Feb-21,20-Feb-21
https://www.indiatoday.in//fact-check/video/fact-check-video-no-this-green-flag-in-a-congress-rally-is-not-a-pakistani-flag-1771374-2021-02-20, Video shows the Indian Army demolishing Chinese bunkers near Pangong Tso Lake in Ladakh,19-Feb-21,19-Feb-21
https://www.indiatoday.in//fact-check/story/fact-check-these-are-not-rss-workers-dragged-through-the-streets-of-kerala-by-popular-front-1771333-2021-02-20, Image shows the Pakistani national flag being waved during a Congress rally,19-Feb-21,19-Feb-21
https://www.indiatoday.in//fact-check/story/rescue-indian-army-destroying-chinese-bunkers-1771127-2021-02-19, Video shows police arresting a group of terrorists from the Pydhonie area of South Mumbai,18-Feb-21,18-Feb-21
https://www.indiatoday.in//fact-check/story/fact-check-no-this-green-flag-in-a-congress-rally-is-not-a-pakistani-flag-1770748-2021-02-19, This is a rare photograph of former Tamil Nadu chief minister J Jayalalithaa and Union finance minister Nirmala Sitharaman,18-Feb-21,18-Feb-21
https://www.indiatoday.in//fact-check/story/fact-check-web-series-shoot-passed-off-as-terrorists-nabbed-in-mumbai-1770693-2021-02-18," Image shows Swedish climate activist Greta Thunberg, who had tweeted in support of farmers’ protest in India, eating luxuriously in front of poor and starving children",17-Feb-21,17-Feb-21
https://www.indiatoday.in//fact-check/story/fact-check-this-is-not-nirmala-sitharaman-with-jayalalithaa-in-vintage-pic-1770310-2021-02-18, The upcoming assembly elections in West Bengal would be held from April 11 to May 19,17-Feb-21,17-Feb-21
https://www.indiatoday.in//fact-check/story/fact-check-picture-of-greta-thunberg-having-food-in-front-of-poor-kids-is-morphed-1770262-2021-02-17, Picture of Bajrang Dal members in Uttar Pradesh protesting against farm laws and Prime Minister Narendra Modi,17-Feb-21,17-Feb-21
https://www.indiatoday.in//fact-check/story/fact-check-fake-west-bengal-election-schedule-circulates-on-social-media-1770180-2021-02-17, A labourer found gold and silver coins while digging a canal near Wular lake in Jammu and Kashmir,16-Feb-21,16-Feb-21
https://www.indiatoday.in//fact-check/story/fact-check-these-are-not-bajrang-dal-members-in-up-demanding-repeal-of-farm-laws-1770140-2021-02-17," In Germany, people abandoned their cars in the middle of the road to protest fuel price hike",15-Feb-21,15-Feb-21
https://www.indiatoday.in//fact-check/story/fact-check-this-story-treasure-trove-kashmir-italian-connection-1769800-2021-02-16, Pictures of tractor convoys show the recent farmers’ protest in German capital Berlin,15-Feb-21,15-Feb-21
https://www.indiatoday.in//fact-check/story/fact-check-image-of-traffic-jam-in-china-shared-as-german-protest-against-fuel-price-hike-1769538-2021-02-15," It was on February 14, 1931, that Bhagat Singh, Sukhdev and Rajguru were sentenced to death in Lahore",14-Feb-21,14-Feb-21
https://www.indiatoday.in//fact-check/story/fact-check-these-pictures-of-farmers-protest-in-berlin-are-over-a-year-old-1769412-2021-02-15," Images show debris of collapsed buildings in Afghanistan after the country was rocked by an earthquake on February 12, 2021",14-Feb-21,14-Feb-21
https://www.indiatoday.in//fact-check/story/fact-check-bhagat-singh-sukhdev-and-rajguru-were-not-sentenced-to-death-on-february-14-1769186-2021-02-14, These are pictures from Tajikistan where critical damage took place after an earthquake hit the country on the night of February 12,13-Feb-21,13-Feb-21
https://www.indiatoday.in//fact-check/story/fact-check-old-images-from-turkey-shared-damage-caused-earthquake-afghanistan-1769107-2021-02-14," Image shows Amulya, the young woman from Karnataka who raised ""Pakistan zindabad"" slogans at Asaduddin Owaisi’s anti-CAA rally in 2020 in Bengaluru, participating in the ongoing farmers’ protest",12-Feb-21,12-Feb-21
https://www.indiatoday.in//fact-check/story/earthquake-destruction-scenes-not-from-tajikistan-1768970-2021-02-13, Picture of a residential project constructed by the West Bengal government under ‘Amar Bari’ (My House) scheme for slum dwellers in Kolkata,11-Feb-21,11-Feb-21
https://www.indiatoday.in//fact-check/video/fact-check-vdeo-picture-of-housing-project-in-bangladesh-shared-as-mamata-s-scheme-for-slum-dwellers-1768759-2021-02-12, The Delhi high court has ordered Delhi Police to release all farmers held during the ongoing agitation,10-Feb-21,10-Feb-21
https://www.indiatoday.in//fact-check/story/fact-check-this-is-not-amulya-the-girl-who-raised-pakistan-zindabad-slogans-in-2020-at-the-farmers-protest-1768604-2021-02-12," In an apparent dig at the government, Naseeruddin Shah tweeted, ""They want Rs 30 as tax on oil worth Rs 60, but if farmers demand MSP for their hard work, they are traitors",10-Feb-21,10-Feb-21
https://www.indiatoday.in//fact-check/story/fact-check-picture-of-housing-project-in-bangladesh-shared-as-mamata-s-scheme-for-slum-dwellers-1768375-2021-02-11, American professional wrestler Undertaker has supported the farmers’ protest,9-Feb-21,9-Feb-21
https://www.indiatoday.in//fact-check/story/fact-check-delhi-hc-has-not-ordered-release-of-protesters-held-during-farmers-agitation-1768005-2021-02-10, This is the clearest picture of the sun’s surface published by NASA,8-Feb-21,8-Feb-21
https://www.indiatoday.in//fact-check/story/fact-check-man-playing-double-naseeruddin-shah-rakesh-tikait-twitter-1767644-2021-02-10, Sharad Pawar was slapped in public for criticising Sachin Tendulkar,8-Feb-21,8-Feb-21
https://www.indiatoday.in//fact-check/story/fact-check-undertaker-would-rise-from-the-dead-after-this-morphed-tweet-in-support-of-farmers-1767598-2021-02-09, This is the video of the glacier breaking off in Uttarakhand’s Chamoli,8-Feb-21,8-Feb-21
https://www.indiatoday.in//fact-check/video/fact-check-video-was-sharad-pawar-slapped-in-public-for-his-statement-on-tendulkar-1767560-2021-02-09," Soon after getting leave, this soldier rushed to Delhi border to meet his father, who has been protesting against the farm laws for 75 days",7-Feb-21,7-Feb-21
https://www.indiatoday.in//fact-check/video/is-video-liquor-distribution-farmers-protest-1767389-2021-02-09, Video shows free alcohol distribution among farmers protesting against the three farm laws,7-Feb-21,7-Feb-21
https://www.indiatoday.in//fact-check/story/fact-check-nasa-has-nothing-to-do-with-this-edited-image-of-the-sun-surface-1767228-2021-02-08, Indian singer Caralisa Monteiro tweeted a communally charged post that declares India will be “Hindu Mukt” soon,6-Feb-21,6-Feb-21
https://www.indiatoday.in//fact-check/story/fact-check-was-sharad-pawar-slapped-in-public-for-his-statement-on-tendulkar-1767175-2021-02-08, Image shows a group of Congress party workers offering cake to former adult film actress Mia Khalifa's poster,6-Feb-21,6-Feb-21
https://www.indiatoday.in//fact-check/story/fact-check-avalanche-video-from-nepal-shared-as-uttarakhand-glacier-burst-1767146-2021-02-08, Image of a document shows how Congress did not appoint a single district chairman from the Hindu community in Uttar Pradesh,6-Feb-21,6-Feb-21
https://www.indiatoday.in//fact-check/story/fact-check-this-emotional-post-about-a-farmer-and-his-soldier-son-is-misleading-1766878-2021-02-07, Video shows a group of Nihang Sikhs attacking a public bus and resorting to violence during the ongoing farmers’ protest,5-Feb-21,5-Feb-21
https://www.indiatoday.in//fact-check/story/fact-check-this-video-of-liquor-distribution-is-not-from-farmers-protest-1766842-2021-02-07, Pictures of a professor who lost his wife during childbirth,4-Feb-21,4-Feb-21
https://www.indiatoday.in//fact-check/story/viral-tweet-on-hindu-mukt-india-by-bollywood-singer-is-fake-1766680-2021-02-06," Protesting farmers are now making tractors with steel wheels, without tyres and tubes, after the government planted iron spikes and nails on the roads to stop entry of tractors",3-Feb-21,3-Feb-21
https://www.indiatoday.in//fact-check/story/morphed-photo-congress-workers-offering-cake-mia-khalifa-poster-1766686-2021-02-06," In an article written by Joseph Hope, the editor-in-chief of ‘The New York Times’, he has called Narendra Modi “a dangerous patriot” whose leadership skills and political acumen are posing a serious threat to other superpowers",3-Feb-21,3-Feb-21
https://www.indiatoday.in//fact-check/story/fact-check-list-of-up-congress-minority-cell-members-viral-with-a-communal-twist-1766657-2021-02-06," Video shows the crowd at Mumbai’s Borivali station on February 1, the day suburban trains resumed for the general public after a 10-month gap",2-Feb-21,2-Feb-21
https://www.indiatoday.in//fact-check/story/video-of-nihang-sikhs-attacking-public-bus-is-not-related-to-farmers-protest-1766429-2021-02-05," This video was captured from inside a new electric train in Japan that runs at 4,800 kms per hour",2-Feb-21,2-Feb-21
https://www.indiatoday.in//fact-check/story/fact-check-this-is-not-a-widowed-professor-carrying-his-baby-to-class-1765933-2021-02-04, Picture shows men in civil dress deployed by Delhi Police at farmers’ protest,2-Feb-21,2-Feb-21
https://www.indiatoday.in//fact-check/story/fact-check-these-antique-steel-wheeled-tractors-have-no-connection-with-farmers-protests-1765672-2021-02-03, This picture of a man holding a placard against the Ram temple at Ayodhya was taken during the ongoing farmers’ agitation,31-Jan-21,31-Jan-21
https://www.indiatoday.in//fact-check/story/fact-check-this-article-praising-pm-modi-was-not-published-by-the-new-york-times-1765308-2021-02-03," SRM Institute of Science and Technology, Chennai, and St",31-Jan-21,31-Jan-21
https://www.indiatoday.in//fact-check/story/fact-check-this-was-not-the-rush-at-borivali-station-after-local-trains-resumed-in-mumbai-1765304-2021-02-02, As many as 200 Delhi Police personnel have submitted collective resignation in solidarity with the protesting farmers,31-Jan-21,31-Jan-21
https://www.indiatoday.in//fact-check/story/fact-check-viral-video-of-japan-lightning-fast-electric-train-is-not-real-1764990-2021-02-02, A fake farmer who waved a sword at security personnel during the Republic Day violence in Delhi was left with a bandaged head and bruised face,30-Jan-21,30-Jan-21
https://www.indiatoday.in//fact-check/story/fact-check-this-image-of-men-in-police-gear-and-civil-clothes-is-not-linked-to-farmers-stir-1764978-2021-02-02," In a moment of rage, a BJP official hit some women with a water tanker and ran over them, when they were on their way to participate in the farmers’ protest march in Delhi",30-Jan-21,30-Jan-21
https://www.indiatoday.in//fact-check/story/fact-check-pro-khalistan-rally-in-san-francisco-passed-off-as-farmers-agitation-in-india-1764565-2021-01-31, The person in the photo disguised himself as a farmer and attacked police to defame the protest against farm laws,29-Jan-21,29-Jan-21
https://www.indiatoday.in//fact-check/story/fact-check-no-boyfriend-no-entry-these-college-circulars-are-too-filmy-to-be-true-1764478-2021-01-31, Video shows police breaking CCTV cameras during the violence that erupted in Delhi on Republic Day,29-Jan-21,29-Jan-21
https://www.indiatoday.in//fact-check/story/fact-check-no-200-policemen-in-delhi-havent-resigned-in-support-of-farmers-1764456-2021-01-31," This picture of Dr Kafeel Khan, an accused in the Gorakhpur infant deaths case, was taken at the tractor rally in Delhi on Republic Day",28-Jan-21,28-Jan-21
https://www.indiatoday.in//fact-check/story/fact-check-unrelated-image-shared-as-police-action-against-protesting-farmers-1764295-2021-01-30, Images show vehicles vandalised during the January 26 violence in Delhi,27-Jan-21,27-Jan-21
https://www.indiatoday.in//fact-check/story/fact-check-video-of-water-tanker-hitting-women-en-route-farmers-protest-has-no-political-connection-1764205-2021-01-30, An Uttar Pradesh Police vehicle is seen here chasing a farmer’s tractor that was going to participate in the Republic Day tractor rally in Delhi,27-Jan-21,27-Jan-21
https://www.indiatoday.in//fact-check/story/fact-check-seven-year-old-image-from-up-wrongly-linked-to-farmers-agitation-1764071-2021-01-29, Rahul Gandhi thinks that the Indian Army can be replaced by labourers and farmers,26-Jan-21,26-Jan-21
https://www.indiatoday.in//fact-check/story/fact-check-this-video-of-police-damaging-cctv-is-not-linked-to-january-26-tractor-rally-1763750-2021-01-29, Khalistani flag hoisted on Red Fort on Republic Day by protesting farmers,26-Jan-21,26-Jan-21
https://www.indiatoday.in//fact-check/story/fact-check-dr-kafeel-khan-was-not-part-of-tractor-rally-in-delhi-on-republic-day-1763724-2021-01-28," Mamata Banerjee can recite Islamic prayers at a government event, but has a problem with “Jai Shree Ram” chants",24-Jan-21,24-Jan-21
https://www.indiatoday.in//fact-check/story/fact-check-pulwama-attack-protest-pictures-shared-as-january-26-tractor-rally-violence-1763381-2021-01-27, Image shows a Friday namaz held at the foot of US Capitol Hill after Joe Biden became the US President,24-Jan-21,24-Jan-21
https://www.indiatoday.in//fact-check/story/fact-check-video-of-cops-pursuing-sand-mafia-passed-off-as-up-police-chasing-farmer-1763360-2021-01-27, WhatsApp will now record the calls of its users,23-Jan-21,23-Jan-21
https://www.indiatoday.in//fact-check/story/fact-check-rahul-gandhi-did-not-suggest-replacing-indian-army-with-labourers-at-china-border-1762983-2021-01-26, US President Joe Biden invited India’s neighbouring countries for his inaugural ceremony,22-Jan-21,22-Jan-21
https://www.indiatoday.in//fact-check/story/fact-check-truth-of-the-flag-hoisted-at-red-fort-by-protesting-farmers-1762991-2021-01-26, Video shows Karnataka government officials faking the Covid-19 vaccination process,21-Jan-21,21-Jan-21
https://www.indiatoday.in//fact-check/video/edited-clip-of-mamata-reciting-islamic-prayers-linked-to-netaji-event-controversy-1762653-2021-01-25," Donald Trump left a letter for Joe Biden, the 46th President of the United States, at his Oval Office in The White House",21-Jan-21,21-Jan-21
https://www.indiatoday.in//fact-check/story/fact-check-edited-clip-of-mamata-reciting-islamic-prayers-linked-to-netaji-event-controversy-1762285-2021-01-24, Images show clear blue flood waters in Thailand’s Pattani province,21-Jan-21,21-Jan-21
https://www.indiatoday.in//fact-check/video/these-officials-posing-for-covid-19-vaccine-is-not-what-it-looks-like-1762122-2021-01-23, Microsoft co-founder Bill Gates has said in an interview to CNBC that 7 lakh people face death or disability due to the Covid-19 vaccines,20-Jan-21,20-Jan-21
https://www.indiatoday.in//fact-check/story/fact-check-decade-old-image-of-friday-namaz-at-us-capitol-hill-viral-with-misleading-claims-1762125-2021-01-24," Madrasas in Uttar Pradesh that do not hoist the national flag or sing the national anthem on Republic Day will be closed, according to the Yogi Adityanath government",20-Jan-21,20-Jan-21
https://www.indiatoday.in//fact-check/story/fact-check-no-whatsapp-is-not-recording-your-calls-but-privacy-concerns-can-t-be-ruled-out-yet-1762105-2021-01-23, The new Covid-19 strain appeared within a week of the United Kingdom getting its first vaccine,19-Jan-21,19-Jan-21
https://www.indiatoday.in//fact-check/story/fact-check-biden-didn-t-ignore-india-foreign-leaders-are-not-invited-to-us-presidential-inauguration-1761861-2021-01-22, This old newspaper article highlights Microsoft co-founder Bill Gates’s plan to depopulate the world through forced vaccination,18-Jan-21,18-Jan-21
https://www.indiatoday.in//fact-check/video/up-madrasas-ordered-shut-for-not-celebrating-r-day-1761520-2021-01-21, As many as 17 female professors from JJM Medical College in Karnataka’s Davangere district who were on a trip to Goa died in a fatal bus mishap,18-Jan-21,18-Jan-21
https://www.indiatoday.in//fact-check/story/fact-check-officials-posing-for-covid-19-vaccine-is-not-what-it-looks-like-1761512-2021-01-21," India to soon have uniform power tariff as the Modi government is implementing “one nation, one power tariff” law",18-Jan-21,18-Jan-21
https://www.indiatoday.in//fact-check/story/fact-check-trump-letter-needling-biden-election-victory-is-fake-1761494-2021-01-21, An oil tanker caught fire and exploded on the Gachibowli flyover in Hyderabad,17-Jan-21,17-Jan-21
https://www.indiatoday.in//fact-check/story/fact-check-morphed-images-of-thailand-floods-inundate-social-media-1761156-2021-01-21," After Kerala cricketer Azharuddeen smashed a century off just 37 balls against Mumbai in domestic T20, a news website carried the headline “Kerala born Muslim boy blasts Mumbai” in an example of Islamophobia",17-Jan-21,17-Jan-21
https://www.indiatoday.in//fact-check/story/fact-check-bill-gates-never-said-covid-vaccines-will-kill-or-disable-7-lakh-people-1761114-2021-01-20, India’s sprint sensation Hima Das has qualified for Tokyo Olympics 2021,16-Jan-21,16-Jan-21
https://www.indiatoday.in//fact-check/story/fact-check-no-yogi-govt-will-not-shut-madrasas-that-do-not-celebrate-republic-day-1760946-2021-01-20, Picture shows a woman portraying a bird injured by the flying kites during Makar Sankranti,15-Jan-21,15-Jan-21
https://www.indiatoday.in//fact-check/story/fact-check-conspiracy-theory-claims-covid-19-vaccine-caused-new-strain-in-uk-1760761-2021-01-19,  Video shows rehearsal for the January 26 tractor rally to be taken out by farmers protesting against the new farm laws,15-Jan-21,15-Jan-21
https://www.indiatoday.in//fact-check/story/bill-gates-vaccines-and-population-control-make-for-infectious-conspiracy-theory-1760336-2021-01-18, West Bengal chief minister Mamata Banerjee has announced that students of classes 10 and 12 do not have to appear for state board exams in 2021 and they’ll be promoted automatically due to the pandemic,14-Jan-21,14-Jan-21
https://www.indiatoday.in//fact-check/story/fact-check-viral-post-claiming-death-of-17-female-docs-in-karnataka-bus-crash-is-misleading-1760296-2021-01-18," Video shows an Australian astronaut jumping from a spacecraft at a height of 1,28,000 feet and reaching the surface of the Earth in four minutes",14-Jan-21,14-Jan-21
https://www.indiatoday.in//fact-check/story/fact-check-no-modi-govt-is-not-introducing-one-nation-one-power-tariff-law-1760283-2021-01-18, Birds are dying due to Jio 5G testing and people are being misled to believe that bird flu is spreading in India,13-Jan-21,13-Jan-21
https://www.indiatoday.in//fact-check/story/fact-check-video-of-truck-that-caught-fire-goes-viral-with-misleading-claims-1759984-2021-01-17," This picture of a woman bleeding from the head is the real face of the Modi government's ""Beti Bachao"" campaign",12-Jan-21,12-Jan-21
https://www.indiatoday.in//fact-check/story/fact-check-this-islamophobic-news-headline-about-kerala-cricketer-azharuddeen-is-fake-1759983-2021-01-17, The Signal app was developed by the son of a poor villager from Uttar Pradesh,12-Jan-21,12-Jan-21
https://www.indiatoday.in//fact-check/story/fact-check-hima-das-has-not-yet-qualified-for-the-2021-tokyo-olympics-1759811-2021-01-16, Pictures show the aftermath of the Indonesia plane crash on January 9,12-Jan-21,12-Jan-21
https://www.indiatoday.in//fact-check/story/fact-check-old-image-of-animal-rights-campaign-viral-with-misleading-claims-1759546-2021-01-15," By the grace of Allah, this baby has miraculously survived the Indonesia plane crash",11-Jan-21,11-Jan-21
https://www.indiatoday.in//fact-check/story/fact-check-no-this-is-not-a-rehearsal-by-protesting-farmers-for-january-26-tractor-rally-1759432-2021-01-15, Video of Sikhs putting black paint on Hindi signboards unmasks the actual agenda of farmers’ protests,11-Jan-21,11-Jan-21
https://www.indiatoday.in//fact-check/video/fact-check-avian-flu-conspiracy-theory-linking-bird-deaths-to-jio-5g-trial-1759393-2021-01-15," Barack Obama has asked Africans not to accept vaccines that'll come from America and Europe, calling it ""an evil act white people want to do to Africans""",10-Jan-21,10-Jan-21
https://www.indiatoday.in//fact-check/story/fact-check-no-board-exams-in-bengal-this-year-mamata-s-edited-clip-goes-viral-1759166-2021-01-14, Image shows a huge library built in the name of Dr BR Ambedkar in the United States,9-Jan-21,9-Jan-21
